LOCALIDAD_KEY,lisa_total,cluster_kmeans,cluster_dbscan,cluster_hier,riesgo_nombre,tasa_total
ANTONIO NARIÑO,NS,2,-1,0,Medio,3916.83
TUNJUELITO,NS,0,0,2,Bajo,2050.75
RAFAEL URIBE URIBE,NS,0,0,2,Bajo,1720.36
CANDELARIA,NS,1,-1,1,Alto,10233.58
BARRIOS UNIDOS,NS,2,-1,0,Medio,3907.67
TEUSAQUILLO,NS,2,-1,0,Medio,4782.37
PUENTE ARANDA,NS,2,-1,0,Medio,3126.03
LOS MARTIRES,NS,1,-1,1,Alto,9246.69
USAQUEN,NS,0,0,2,Bajo,1829.44
CHAPINERO,NS,2,-1,0,Medio,6113.17
SANTA FE,HH,1,-1,1,Alto,7528.35
SAN CRISTOBAL,NS,0,0,2,Bajo,1612.92
USME,LL,0,0,2,Bajo,1388.66
CIUDAD BOLIVAR,LL,0,0,2,Bajo,1639.62
BOSA,NS,0,0,2,Bajo,1524.59
KENNEDY,NS,0,0,2,Bajo,1868.32
FONTIBON,NS,0,0,2,Bajo,2331.64
ENGATIVA,NS,0,0,2,Bajo,2022.18
SUBA,NS,0,0,2,Bajo,1412.28
