LOCALIDAD_KEY,lisa_hurto_a_personas,lisa_Ii_hurto_a_personas,lisa_p_hurto_a_personas,lisa_violencia_intrafamiliar,lisa_Ii_violencia_intrafamiliar,lisa_p_violencia_intrafamiliar,lisa_lesiones_personales,lisa_Ii_lesiones_personales,lisa_p_lesiones_personales,lisa_hurto_a_comercio,lisa_Ii_hurto_a_comercio,lisa_p_hurto_a_comercio,lisa_hurto_a_residencias,lisa_Ii_hurto_a_residencias,lisa_p_hurto_a_residencias,lisa_delitos_sexuales,lisa_Ii_delitos_sexuales,lisa_p_delitos_sexuales,lisa_hurto_motocicletas,lisa_Ii_hurto_motocicletas,lisa_p_hurto_motocicletas,lisa_hurto_automotores,lisa_Ii_hurto_automotores,lisa_p_hurto_automotores,lisa_extorsion,lisa_Ii_extorsion,lisa_p_extorsion,lisa_homicidios,lisa_Ii_homicidios,lisa_p_homicidios,lisa_hurto_a_entidades_financieras,lisa_Ii_hurto_a_entidades_financieras,lisa_p_hurto_a_entidades_financieras,lisa_secuestro,lisa_Ii_secuestro,lisa_p_secuestro,lisa_total,lisa_Ii_total,lisa_p_total,lisa_total_Ii,lisa_total_p
ANTONIO NARIÑO,NS,0.0074,0.257,NS,-0.0719,0.125,NS,0.0553,0.147,NS,-0.0061,0.462,NS,-0.0275,0.463,NS,-0.0325,0.37,HH,0.868,0.034,NS,0.6898,0.066,NS,-0.1081,0.157,LH,-0.0782,0.029,NS,-0.0068,0.426,NS,0.009,0.379,NS,0.0264,0.258,0.0264,0.248
TUNJUELITO,LL,0.3249,0.045,NS,0.065,0.29,NS,0.0517,0.259,NS,0.2462,0.101,NS,0.3945,0.074,NS,0.1014,0.251,NS,-0.1376,0.055,NS,-0.1687,0.066,NS,0.284,0.077,NS,-0.013,0.459,NS,0.1695,0.055,NS,0.0561,0.371,NS,0.2657,0.059,0.2657,0.069
RAFAEL URIBE URIBE,NS,0.4132,0.089,NS,0.0924,0.448,NS,0.0521,0.423,NS,0.256,0.193,NS,0.4068,0.074,NS,0.1047,0.393,NS,0.045,0.31,NS,-0.0094,0.437,LL,0.2983,0.046,NS,-0.0091,0.459,NS,0.2635,0.154,NS,0.0463,0.498,NS,0.3311,0.114,0.3311,0.125
CANDELARIA,NS,3.1671,0.069,NS,2.9462,0.09,NS,3.7141,0.122,NS,2.2337,0.227,NS,0.2571,0.391,NS,2.0429,0.105,NS,0.0215,0.397,NS,-0.3458,0.459,NS,3.795,0.098,NS,0.5713,0.058,NS,3.5689,0.107,NS,-0.431,0.18,NS,3.4245,0.126,3.4245,0.099
BARRIOS UNIDOS,NS,0.0072,0.423,LL,0.237,0.001,LL,0.0576,0.007,NS,-0.0162,0.465,NS,0.3347,0.147,LL,0.1259,0.04,LL,0.0896,0.005,NS,-0.1569,0.075,NS,-0.0025,0.342,LL,0.411,0.001,NS,-0.0059,0.391,NS,-0.2168,0.237,NS,-0.0149,0.351,-0.0149,0.393
TEUSAQUILLO,HH,0.383,0.023,NS,-0.0979,0.325,NS,-0.079,0.269,NS,0.1032,0.13,HH,0.9537,0.008,NS,-0.0096,0.43,NS,-0.0666,0.375,NS,0.0468,0.205,HH,0.0489,0.035,NS,-0.2086,0.235,NS,0.0324,0.16,HH,0.0801,0.033,NS,0.2033,0.058,0.2033,0.066
PUENTE ARANDA,NS,-0.0374,0.297,NS,-0.0149,0.468,NS,-0.0104,0.393,NS,0.0004,0.358,NS,0.0861,0.174,NS,0.0119,0.489,HH,0.4336,0.034,HH,1.2456,0.008,NS,-0.0055,0.293,NS,-0.0742,0.347,NS,0.0163,0.484,NS,-0.0393,0.348,NS,-0.0269,0.346,-0.0269,0.344
LOS MARTIRES,NS,1.0075,0.082,NS,-0.007,0.318,NS,0.4602,0.222,NS,0.5898,0.15,HH,1.2132,0.047,NS,-0.0624,0.237,NS,1.1611,0.05,HH,1.3348,0.016,HH,1.0771,0.039,NS,0.5146,0.175,NS,0.2474,0.216,NS,0.3066,0.235,NS,0.923,0.113,0.923,0.096
USAQUEN,NS,-0.1391,0.32,LL,0.5259,0.016,NS,0.343,0.194,NS,-0.0802,0.335,NS,-0.1097,0.209,NS,0.1984,0.183,LL,1.2437,0.02,NS,0.541,0.152,NS,0.0845,0.479,LL,0.4697,0.02,NS,-0.0272,0.311,NS,-0.467,0.176,NS,-0.0505,0.45,-0.0505,0.425
CHAPINERO,NS,0.3094,0.215,NS,0.1969,0.256,NS,0.0497,0.375,NS,0.0158,0.391,NS,0.4803,0.15,NS,0.0549,0.382,LL,0.8261,0.013,NS,0.3537,0.105,NS,0.0048,0.246,NS,0.1044,0.347,NS,0.0356,0.301,NS,-0.735,0.48,NS,0.099,0.342,0.099,0.305
