delito,variable_usada,moran_I,esperado_E_I,z_score,p_valor,significativo_05,n_permutaciones,interpretacion
HURTO A PERSONAS,tasa_hurto_a_personas,0.5053,-0.0556,3.8396,0.001,True,999,Clustering positivo significativo (zonas similares se agrupan)
VIOLENCIA INTRAFAMILIAR,tasa_violencia_intrafamiliar,0.3116,-0.0556,2.8756,0.017,True,999,Clustering positivo significativo (zonas similares se agrupan)
LESIONES PERSONALES,tasa_lesiones_personales,0.3982,-0.0556,3.4185,0.005,True,999,Clustering positivo significativo (zonas similares se agrupan)
HURTO A COMERCIO,tasa_hurto_a_comercio,0.3543,-0.0556,3.1662,0.002,True,999,Clustering positivo significativo (zonas similares se agrupan)
HURTO A RESIDENCIAS,tasa_hurto_a_residencias,0.3858,-0.0556,3.1695,0.009,True,999,Clustering positivo significativo (zonas similares se agrupan)
DELITOS SEXUALES,tasa_delitos_sexuales,0.2218,-0.0556,2.7221,0.015,True,999,Clustering positivo significativo (zonas similares se agrupan)
HURTO MOTOCICLETAS,tasa_hurto_motocicletas,0.2885,-0.0556,2.6585,0.011,True,999,Clustering positivo significativo (zonas similares se agrupan)
HURTO AUTOMOTORES,tasa_hurto_automotores,0.2035,-0.0556,1.8685,0.046,True,999,Clustering positivo significativo (zonas similares se agrupan)
EXTORSION,tasa_extorsion,0.4674,-0.0556,3.9333,0.003,True,999,Clustering positivo significativo (zonas similares se agrupan)
HOMICIDIOS,tasa_homicidios,0.1818,-0.0556,1.921,0.049,True,999,Clustering positivo significativo (zonas similares se agrupan)
HURTO A ENTIDADES FINANCIERAS,tasa_hurto_a_entidades_financieras,0.3932,-0.0556,3.6389,0.002,True,999,Clustering positivo significativo (zonas similares se agrupan)
SECUESTRO,tasa_secuestro,-0.0366,-0.0556,0.1882,0.373,False,999,Sin evidencia de patron espacial (distribucion aleatoria)
TOTAL,tasa_total,0.4713,-0.0556,3.937,0.001,True,999,Clustering positivo significativo (zonas similares se agrupan)
