anio,mes,localidad,cantidad,fecha
2018,1,ANTONIO NARIÑO,266,2018-01
2018,1,BARRIOS UNIDOS,542,2018-01
2018,1,BOSA,999,2018-01
2018,1,CANDELARIA,179,2018-01
2018,1,CHAPINERO,975,2018-01
2018,1,CIUDAD BOLÍVAR,979,2018-01
2018,1,ENGATIVÁ,1521,2018-01
2018,1,FONTIBÓN,815,2018-01
2018,1,KENNEDY,1803,2018-01
2018,1,LOS MÁRTIRES,509,2018-01
2018,1,PUENTE ARANDA,677,2018-01
2018,1,RAFAEL URIBE URIBE,619,2018-01
2018,1,SAN CRISTÓBAL,692,2018-01
2018,1,SANTA FE,693,2018-01
2018,1,SUBA,1621,2018-01
2018,1,TEUSAQUILLO,712,2018-01
2018,1,TUNJUELITO,385,2018-01
2018,1,USAQUÉN,1171,2018-01
2018,1,USME,498,2018-01
2018,2,ANTONIO NARIÑO,298,2018-02
2018,2,BARRIOS UNIDOS,559,2018-02
2018,2,BOSA,1050,2018-02
2018,2,CANDELARIA,167,2018-02
2018,2,CHAPINERO,1110,2018-02
2018,2,CIUDAD BOLÍVAR,916,2018-02
2018,2,ENGATIVÁ,1632,2018-02
2018,2,FONTIBÓN,832,2018-02
2018,2,KENNEDY,1943,2018-02
2018,2,LOS MÁRTIRES,560,2018-02
2018,2,PUENTE ARANDA,736,2018-02
2018,2,RAFAEL URIBE URIBE,655,2018-02
2018,2,SAN CRISTÓBAL,665,2018-02
2018,2,SANTA FE,910,2018-02
2018,2,SUBA,1836,2018-02
2018,2,TEUSAQUILLO,815,2018-02
2018,2,TUNJUELITO,404,2018-02
2018,2,USAQUÉN,1198,2018-02
2018,2,USME,549,2018-02
2018,3,ANTONIO NARIÑO,326,2018-03
2018,3,BARRIOS UNIDOS,593,2018-03
2018,3,BOSA,1177,2018-03
2018,3,CANDELARIA,168,2018-03
2018,3,CHAPINERO,1002,2018-03
2018,3,CIUDAD BOLÍVAR,1077,2018-03
2018,3,ENGATIVÁ,1620,2018-03
2018,3,FONTIBÓN,917,2018-03
2018,3,KENNEDY,2059,2018-03
2018,3,LOS MÁRTIRES,605,2018-03
2018,3,PUENTE ARANDA,749,2018-03
2018,3,RAFAEL URIBE URIBE,663,2018-03
2018,3,SAN CRISTÓBAL,670,2018-03
2018,3,SANTA FE,816,2018-03
2018,3,SUBA,2046,2018-03
2018,3,TEUSAQUILLO,854,2018-03
2018,3,TUNJUELITO,377,2018-03
2018,3,USAQUÉN,1413,2018-03
2018,3,USME,639,2018-03
2018,4,ANTONIO NARIÑO,315,2018-04
2018,4,BARRIOS UNIDOS,601,2018-04
2018,4,BOSA,1326,2018-04
2018,4,CANDELARIA,206,2018-04
2018,4,CHAPINERO,1269,2018-04
2018,4,CIUDAD BOLÍVAR,1103,2018-04
2018,4,ENGATIVÁ,1623,2018-04
2018,4,FONTIBÓN,863,2018-04
2018,4,KENNEDY,2024,2018-04
2018,4,LOS MÁRTIRES,591,2018-04
2018,4,PUENTE ARANDA,866,2018-04
2018,4,RAFAEL URIBE URIBE,738,2018-04
2018,4,SAN CRISTÓBAL,789,2018-04
2018,4,SANTA FE,974,2018-04
2018,4,SUBA,1938,2018-04
2018,4,TEUSAQUILLO,989,2018-04
2018,4,TUNJUELITO,462,2018-04
2018,4,USAQUÉN,1226,2018-04
2018,4,USME,669,2018-04
2018,5,ANTONIO NARIÑO,328,2018-05
2018,5,BARRIOS UNIDOS,643,2018-05
2018,5,BOSA,1266,2018-05
2018,5,CANDELARIA,202,2018-05
2018,5,CHAPINERO,1265,2018-05
2018,5,CIUDAD BOLÍVAR,1066,2018-05
2018,5,ENGATIVÁ,1650,2018-05
2018,5,FONTIBÓN,923,2018-05
2018,5,KENNEDY,2291,2018-05
2018,5,LOS MÁRTIRES,584,2018-05
2018,5,PUENTE ARANDA,812,2018-05
2018,5,RAFAEL URIBE URIBE,691,2018-05
2018,5,SAN CRISTÓBAL,705,2018-05
2018,5,SANTA FE,1007,2018-05
2018,5,SUBA,1877,2018-05
2018,5,TEUSAQUILLO,950,2018-05
2018,5,TUNJUELITO,428,2018-05
2018,5,USAQUÉN,1150,2018-05
2018,5,USME,679,2018-05
2018,6,ANTONIO NARIÑO,310,2018-06
2018,6,BARRIOS UNIDOS,568,2018-06
2018,6,BOSA,1265,2018-06
2018,6,CANDELARIA,148,2018-06
2018,6,CHAPINERO,1074,2018-06
2018,6,CIUDAD BOLÍVAR,996,2018-06
2018,6,ENGATIVÁ,1626,2018-06
2018,6,FONTIBÓN,900,2018-06
2018,6,KENNEDY,2071,2018-06
2018,6,LOS MÁRTIRES,607,2018-06
2018,6,PUENTE ARANDA,751,2018-06
2018,6,RAFAEL URIBE URIBE,698,2018-06
2018,6,SAN CRISTÓBAL,635,2018-06
2018,6,SANTA FE,848,2018-06
2018,6,SUBA,1760,2018-06
2018,6,TEUSAQUILLO,812,2018-06
2018,6,TUNJUELITO,424,2018-06
2018,6,USAQUÉN,1142,2018-06
2018,6,USME,560,2018-06
2018,7,ANTONIO NARIÑO,305,2018-07
2018,7,BARRIOS UNIDOS,591,2018-07
2018,7,BOSA,1259,2018-07
2018,7,CANDELARIA,197,2018-07
2018,7,CHAPINERO,1074,2018-07
2018,7,CIUDAD BOLÍVAR,972,2018-07
2018,7,ENGATIVÁ,1538,2018-07
2018,7,FONTIBÓN,944,2018-07
2018,7,KENNEDY,2098,2018-07
2018,7,LOS MÁRTIRES,583,2018-07
2018,7,PUENTE ARANDA,789,2018-07
2018,7,RAFAEL URIBE URIBE,637,2018-07
2018,7,SAN CRISTÓBAL,628,2018-07
2018,7,SANTA FE,772,2018-07
2018,7,SUBA,1854,2018-07
2018,7,TEUSAQUILLO,739,2018-07
2018,7,TUNJUELITO,430,2018-07
2018,7,USAQUÉN,1256,2018-07
2018,7,USME,538,2018-07
2018,8,ANTONIO NARIÑO,380,2018-08
2018,8,BARRIOS UNIDOS,673,2018-08
2018,8,BOSA,1272,2018-08
2018,8,CANDELARIA,216,2018-08
2018,8,CHAPINERO,1253,2018-08
2018,8,CIUDAD BOLÍVAR,1118,2018-08
2018,8,ENGATIVÁ,1739,2018-08
2018,8,FONTIBÓN,980,2018-08
2018,8,KENNEDY,2187,2018-08
2018,8,LOS MÁRTIRES,603,2018-08
2018,8,PUENTE ARANDA,896,2018-08
2018,8,RAFAEL URIBE URIBE,646,2018-08
2018,8,SAN CRISTÓBAL,688,2018-08
2018,8,SANTA FE,999,2018-08
2018,8,SUBA,1957,2018-08
2018,8,TEUSAQUILLO,882,2018-08
2018,8,TUNJUELITO,413,2018-08
2018,8,USAQUÉN,1237,2018-08
2018,8,USME,581,2018-08
2018,9,ANTONIO NARIÑO,349,2018-09
2018,9,BARRIOS UNIDOS,667,2018-09
2018,9,BOSA,1235,2018-09
2018,9,CANDELARIA,171,2018-09
2018,9,CHAPINERO,1205,2018-09
2018,9,CIUDAD BOLÍVAR,1076,2018-09
2018,9,ENGATIVÁ,1807,2018-09
2018,9,FONTIBÓN,948,2018-09
2018,9,KENNEDY,2152,2018-09
2018,9,LOS MÁRTIRES,635,2018-09
2018,9,PUENTE ARANDA,818,2018-09
2018,9,RAFAEL URIBE URIBE,670,2018-09
2018,9,SAN CRISTÓBAL,657,2018-09
2018,9,SANTA FE,865,2018-09
2018,9,SUBA,1884,2018-09
2018,9,TEUSAQUILLO,773,2018-09
2018,9,TUNJUELITO,453,2018-09
2018,9,USAQUÉN,1204,2018-09
2018,9,USME,476,2018-09
2018,10,ANTONIO NARIÑO,337,2018-10
2018,10,BARRIOS UNIDOS,655,2018-10
2018,10,BOSA,1196,2018-10
2018,10,CANDELARIA,230,2018-10
2018,10,CHAPINERO,1259,2018-10
2018,10,CIUDAD BOLÍVAR,997,2018-10
2018,10,ENGATIVÁ,1685,2018-10
2018,10,FONTIBÓN,1044,2018-10
2018,10,KENNEDY,2185,2018-10
2018,10,LOS MÁRTIRES,613,2018-10
2018,10,PUENTE ARANDA,902,2018-10
2018,10,RAFAEL URIBE URIBE,702,2018-10
2018,10,SAN CRISTÓBAL,671,2018-10
2018,10,SANTA FE,924,2018-10
2018,10,SUBA,1834,2018-10
2018,10,TEUSAQUILLO,933,2018-10
2018,10,TUNJUELITO,447,2018-10
2018,10,USAQUÉN,1189,2018-10
2018,10,USME,547,2018-10
2018,11,ANTONIO NARIÑO,332,2018-11
2018,11,BARRIOS UNIDOS,604,2018-11
2018,11,BOSA,1145,2018-11
