LOCALIDAD,DELITOS SEXUALES,EXTORSION,HOMICIDIOS,HURTO A COMERCIO,HURTO A ENTIDADES FINANCIERAS,HURTO A PERSONAS,HURTO A RESIDENCIAS,HURTO AUTOMOTORES,HURTO MOTOCICLETAS,LESIONES PERSONALES,SECUESTRO,VIOLENCIA INTRAFAMILIAR,total_delitos,poblacion,tasa_hurto_a_personas,tasa_violencia_intrafamiliar,tasa_lesiones_personales,tasa_hurto_a_comercio,tasa_hurto_a_residencias,tasa_delitos_sexuales,tasa_hurto_motocicletas,tasa_hurto_automotores,tasa_extorsion,tasa_homicidios,tasa_hurto_a_entidades_financieras,tasa_secuestro,tasa_total
ANTONIO NARIÑO,704,184,112,3659,6,19191,1031,915,795,2883,5,3387,32872,83925,2286.68,403.57,343.52,435.98,122.85,83.88,94.73,109.03,21.92,13.35,0.71,0.6,3916.83
BARRIOS UNIDOS,1139,461,115,4617,8,39810,2163,850,775,4452,1,5530,59921,153342,2596.16,360.63,290.33,301.09,141.06,74.28,50.54,55.43,30.06,7.5,0.52,0.07,3907.67
BOSA,4649,688,840,3711,5,45719,4130,1820,4068,14240,10,31382,111262,729781,626.48,430.02,195.13,50.85,56.59,63.7,55.74,24.94,9.43,11.51,0.07,0.14,1524.59
CANDELARIA,1155,171,34,1785,8,11243,302,120,93,1799,0,2129,18839,18409,6107.34,1156.5,977.24,969.63,164.05,627.41,50.52,65.19,92.89,18.47,4.35,0.0,10233.58
CHAPINERO,1448,549,113,8948,42,85222,2876,421,442,4455,33,5125,109674,179406,4750.23,285.66,248.32,498.76,160.31,80.71,24.64,23.47,30.6,6.3,2.34,1.84,6113.17
CIUDAD BOLÍVAR,5703,583,1778,3261,1,37924,3553,2170,4443,16275,10,32775,108476,661592,573.22,495.4,246.0,49.29,53.7,86.2,67.16,32.8,8.81,26.87,0.02,0.15,1639.62
ENGATIVÁ,3860,1173,434,9745,24,95582,7741,3707,4006,12579,7,26358,165216,817019,1169.89,322.61,153.96,119.28,94.75,47.24,49.03,45.37,14.36,5.31,0.29,0.09,2022.18
FONTIBÓN,1742,680,235,7118,7,60536,3072,1189,1322,6135,8,12213,94257,404252,1497.48,302.11,151.76,176.08,75.99,43.09,32.7,29.41,16.82,5.81,0.17,0.2,2331.64
KENNEDY,5231,1471,1258,9315,20,99513,7439,6593,7174,20702,15,34682,193413,1035224,961.27,335.02,199.98,89.98,71.86,50.53,69.3,63.69,14.21,12.15,0.19,0.14,1868.32
LOS MÁRTIRES,2751,909,445,4688,18,49271,1498,706,964,6523,6,8828,76607,82848,5947.16,1065.57,787.35,565.86,180.81,332.05,116.36,85.22,109.72,53.71,2.17,0.72,9246.69
PUENTE ARANDA,2118,734,232,6519,12,46200,2937,2874,1821,7150,5,9653,80255,256731,1799.55,376.0,278.5,253.92,114.4,82.5,70.93,111.95,28.59,9.04,0.47,0.19,3126.03
RAFAEL URIBE URIBE,2493,513,611,3060,7,31485,2759,1695,2279,9441,3,12617,66963,389238,808.89,324.15,242.55,78.62,70.88,64.05,58.55,43.55,13.18,15.7,0.18,0.08,1720.36
SAN CRISTÓBAL,3050,367,481,3164,1,25155,2382,1131,1972,10069,4,17789,65565,406498,618.82,437.62,247.7,77.84,58.6,75.03,48.51,27.82,9.03,11.83,0.02,0.1,1612.92
SANTA FE,2116,948,437,4668,23,56498,1190,338,514,6502,6,7823,81063,107677,5246.99,726.52,603.84,433.52,110.52,196.51,47.74,31.39,88.04,40.58,2.14,0.56,7528.35
SUBA,5276,1413,661,10789,12,101151,8576,2464,3401,15135,1,33920,182799,1294358,781.48,262.06,116.93,83.35,66.26,40.76,26.28,19.04,10.92,5.11,0.09,0.01,1412.28
TEUSAQUILLO,1359,546,83,5420,16,58949,3067,874,673,3736,6,4863,79592,166428,3542.01,292.2,224.48,325.67,184.28,81.66,40.44,52.52,32.81,4.99,0.96,0.36,4782.37
TUNJUELITO,1260,183,212,1784,8,19554,1138,711,863,4790,3,7011,37517,182943,1068.86,383.23,261.83,97.52,62.21,68.87,47.17,38.86,10.0,11.59,0.44,0.16,2050.75
USAQUÉN,2377,938,331,8258,35,68553,5368,988,902,7047,3,12580,107380,586954,1167.95,214.33,120.06,140.69,91.46,40.5,15.37,16.83,15.98,5.64,0.6,0.05,1829.44
USME,3355,351,641,2518,3,19409,2516,883,1616,9700,7,15609,56608,407645,476.13,382.91,237.95,61.77,61.72,82.3,39.64,21.66,8.61,15.72,0.07,0.17,1388.66
