localidad,vecina
ANTONIO NARIÑO,TUNJUELITO
ANTONIO NARIÑO,RAFAEL URIBE URIBE
ANTONIO NARIÑO,PUENTE ARANDA
ANTONIO NARIÑO,LOS MARTIRES
ANTONIO NARIÑO,SANTA FE
ANTONIO NARIÑO,SAN CRISTOBAL
TUNJUELITO,ANTONIO NARIÑO
TUNJUELITO,RAFAEL URIBE URIBE
TUNJUELITO,PUENTE ARANDA
TUNJUELITO,USME
TUNJUELITO,CIUDAD BOLIVAR
TUNJUELITO,KENNEDY
RAFAEL URIBE URIBE,ANTONIO NARIÑO
RAFAEL URIBE URIBE,TUNJUELITO
RAFAEL URIBE URIBE,SAN CRISTOBAL
RAFAEL URIBE URIBE,USME
CANDELARIA,SANTA FE
BARRIOS UNIDOS,ENGATIVA
BARRIOS UNIDOS,SUBA
BARRIOS UNIDOS,TEUSAQUILLO
BARRIOS UNIDOS,USAQUEN
BARRIOS UNIDOS,CHAPINERO
TEUSAQUILLO,FONTIBON
TEUSAQUILLO,ENGATIVA
TEUSAQUILLO,BARRIOS UNIDOS
TEUSAQUILLO,PUENTE ARANDA
TEUSAQUILLO,LOS MARTIRES
TEUSAQUILLO,CHAPINERO
TEUSAQUILLO,SANTA FE
PUENTE ARANDA,ANTONIO NARIÑO
PUENTE ARANDA,TUNJUELITO
PUENTE ARANDA,FONTIBON
PUENTE ARANDA,TEUSAQUILLO
PUENTE ARANDA,LOS MARTIRES
PUENTE ARANDA,KENNEDY
LOS MARTIRES,ANTONIO NARIÑO
LOS MARTIRES,SANTA FE
LOS MARTIRES,TEUSAQUILLO
LOS MARTIRES,PUENTE ARANDA
USAQUEN,CHAPINERO
USAQUEN,SUBA
USAQUEN,BARRIOS UNIDOS
CHAPINERO,SUBA
CHAPINERO,BARRIOS UNIDOS
CHAPINERO,TEUSAQUILLO
CHAPINERO,USAQUEN
CHAPINERO,SANTA FE
SANTA FE,ANTONIO NARIÑO
SANTA FE,CANDELARIA
SANTA FE,TEUSAQUILLO
SANTA FE,LOS MARTIRES
SANTA FE,CHAPINERO
SANTA FE,SAN CRISTOBAL
SAN CRISTOBAL,ANTONIO NARIÑO
SAN CRISTOBAL,RAFAEL URIBE URIBE
SAN CRISTOBAL,SANTA FE
SAN CRISTOBAL,USME
USME,TUNJUELITO
USME,RAFAEL URIBE URIBE
USME,SAN CRISTOBAL
USME,CIUDAD BOLIVAR
CIUDAD BOLIVAR,TUNJUELITO
CIUDAD BOLIVAR,USME
CIUDAD BOLIVAR,BOSA
CIUDAD BOLIVAR,KENNEDY
BOSA,CIUDAD BOLIVAR
BOSA,KENNEDY
KENNEDY,FONTIBON
KENNEDY,TUNJUELITO
KENNEDY,PUENTE ARANDA
KENNEDY,CIUDAD BOLIVAR
KENNEDY,BOSA
FONTIBON,ENGATIVA
FONTIBON,TEUSAQUILLO
FONTIBON,PUENTE ARANDA
FONTIBON,KENNEDY
ENGATIVA,FONTIBON
ENGATIVA,SUBA
ENGATIVA,BARRIOS UNIDOS
ENGATIVA,TEUSAQUILLO
SUBA,USAQUEN
SUBA,ENGATIVA
SUBA,BARRIOS UNIDOS
SUBA,CHAPINERO
